@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.01,10,11.6,51.5,90,48.5,7.3,175.7,51.7,True
0.04,147,9.5,48.4,82,43.2,4.9,116.9,50.3,True
0.11,313,6.4,45.3,62,33.2,9.3,222.6,47.8,True
0.11,405,12,55.2,81,49.4,7,168.5,57.4,True
0.02,132,10.6,51,84,46.2,10.6,255.3,50.8,True
0.06,248,9,47.4,81,41.9,6.1,147.5,50.1,True
0.06,273,8.6,44.6,86,40.6,5.4,129.3,49.2,True
0.13,386,11.5,59.7,66,48.2,4.9,116.8,56.5,True
0.06,101,7.1,57.3,44,35.6,3.1,73.5,54.7,True
0.06,209,15.7,61.5,84,56.7,6.8,163.1,63.8,True
0.04,170,13.3,56.8,84,52.1,6.3,152.3,58,True
0.03,51,8.3,43.9,85,39.7,12.4,296.7,47.1,True
0.11,360,9.5,50.4,76,43.1,7.5,180.7,53.9,True
0.06,258,8.8,46.7,81,41.2,4.8,114.3,52.2,True
0.12,155,7.6,64.1,37,37.5,7.6,183.3,56.9,True
0.06,239,12.7,59.1,74,50.9,3,72.4,58.3,True
0.1,312,12.7,57.2,79,50.9,9.7,232.3,58,True
0.11,380,8.8,51.1,69,41.3,7,167.2,55,True
0.1,240,9.4,59.8,53,42.8,4.8,114.1,60.9,True
0,81,16.8,58.6,100,58.5,7.1,170.2,60.4,True
0.15,449,14.3,61.7,76,54,7.2,173,62.7,True
0.12,417,14.7,58.3,88,54.8,5.6,134.3,59.2,True
0.09,341,8.9,49.7,73,41.5,5.7,137.7,58.9,True
0.28,751,13.8,70.1,55,53.2,5.1,122.4,72.9,True
0.31,787,14.4,78,44,54.4,4.2,100.8,74.8,True
0.12,344,11.7,60.5,65,48.7,4.6,110.4,57.9,True
0.12,253,7.4,57.2,46,36.8,9,215.7,55.6,True
0.28,604,13.4,77.7,41,52.3,5.8,139.5,74.6,True
0.31,773,11,76.6,35,47.1,4.2,101.2,75.1,True
0.35,770,9.9,79.9,28,44.2,6.2,147.9,74,True
0.33,767,12,79.4,35,49.4,6,144.1,74.8,True
0.03,140,11.1,50.9,87,47.2,4.7,112.3,53.9,True
0.29,753,14.8,76.1,48,55.1,4.7,113,75.5,True
0.04,188,12.3,52.4,92,50.1,3.1,74.5,55.3,True
0.04,203,9.9,47.3,90,44.4,6,144.3,51.1,True
0.25,633,16,76.7,51,57.2,3.4,82.3,75.5,True
0.1,270,18.2,69.6,74,60.8,4.4,105.7,69,True
0.02,89,11.3,50.4,91,47.8,3.5,83.6,50.3,True
0.07,234,12.4,56.8,79,50.3,6.5,155.5,53.6,True
0.11,399,13,56.5,83,51.4,8.5,203.3,62,True
0.09,53,6.9,57.8,42,35.1,8.3,200.1,52.1,True
0.02,118,15.8,57,99,56.9,6.5,156.8,57.2,True
0.02,116,13.9,55.6,92,53.4,8.7,207.8,56.7,True
0.06,215,10.3,51.8,79,45.4,7.7,186,53.3,True
0.05,92,7.6,52,57,37.3,4.9,117.7,47.2,True
0.11,161,7.1,61.4,38,35.6,6,144.1,55.9,True
0,38,12,49.2,100,49.4,4.2,101.6,50,True
0.05,225,12.5,53.6,89,50.5,3.4,82.4,52.3,True
0,41,12.5,50.6,99,50.4,2.8,68.1,52,True
0.2,534,9.7,57.1,61,43.8,10,240.9,62.6,True
0.02,93,12,50.7,95,49.3,6,145,51.5,True
0.02,135,13.6,53,99,52.8,6.8,163.6,54.1,True
0.02,76,9.7,45.6,93,43.7,7,167.4,44.8,True
0.05,91,7.7,53.1,56,37.8,4,96.5,50.2,True
0.05,56,8.6,61.4,46,40.7,3.6,87,57,True
0.06,104,8,55.2,54,38.8,5.1,121.8,50.3,True
0.01,77,11,47.4,98,46.9,4.5,107.3,49.7,True
0.08,238,12.1,55.9,79,49.5,5.6,134.3,55.8,True
0,36,14.2,54.4,99,54,10.5,252.7,51.2,True
0.03,117,13.3,56.5,85,52.1,5.9,142.7,53.2,True
0.04,207,12.9,54.1,90,51.4,4.9,117.5,60.5,True
0.04,167,13.5,54.4,93,52.5,8.8,211.7,54.6,True
0.2,459,12.3,70.1,49,49.9,7.3,174.5,70.7,True
0.02,121,13.4,52.8,98,52.3,6.7,160.5,53.3,True
0.06,179,12.2,55.1,82,49.9,12.8,308.1,53.9,True
0.04,174,12.3,52.5,91,50,10.5,251.7,53.2,True
0.03,169,10.2,47.4,92,45.1,7.7,184.7,51.5,True
0.05,123,7.6,53.7,54,37.6,2.5,59,51.3,True
0.04,203,10.4,47,94,45.5,8.4,201.7,48.9,True
0.06,286,13.5,53.5,97,52.6,4.7,113.7,60.1,True
0.01,110,8.5,41.5,96,40.3,2.6,62.9,46.4,True
0.02,85,12.6,53.3,91,50.6,12.9,309.7,48.2,True
0.05,234,13.6,55.6,90,52.7,11.5,276.4,52.2,True
0.07,271,9.7,48.1,85,43.8,7.5,180.1,50.5,True
0.06,87,5.4,49.7,45,29.1,8,193.1,52.2,True
0.06,255,7.3,46.9,67,36.4,4.6,111.6,48.7,True
0.09,314,8.2,48.6,70,39.4,6.8,162.6,48.2,True
0.01,38,12.7,54.8,86,50.8,7.9,189.6,51.3,True
0.05,201,14.2,55.5,94,53.9,10.1,243.3,52.5,True
0,82,13.2,52.1,100,52,4.7,112.5,53.3,True
0.05,205,13.5,55,91,52.5,5,121.1,54.6,True
