@relation 'daily_preprocessing-weka.filters.unsupervised.attribute.Remove-R4-5,7-8'

@attribute ETo..in. numeric
@attribute Sol.Rad..Ly.day. numeric
@attribute Avg.Vap.Pres..mBars. numeric
@attribute Avg.Air.Temp..F. numeric
@attribute Avg.Rel.Hum.... numeric
@attribute Dew.Point..F. numeric
@attribute Avg.Wind.Speed..mph. numeric
@attribute Wind.Run..miles. numeric
@attribute Avg.Soil.Temp..F. numeric
@attribute class {False,True}

@data
0.09,372,8.1,46,77,39,6.6,158.7,48.6,True
0.13,432,5.5,46.2,52,29.5,9.2,220.7,46.9,False
0.1,431,5.9,46.7,54,31,4.9,116.9,46.7,False
0.09,314,8.2,48.6,70,39.4,6.8,162.6,48.2,True
0.15,441,6.4,47,58,33.2,11.3,270.1,47.2,False
0.13,452,4.3,46.6,39,23.2,7.4,177,46.5,False
0.08,329,6.6,45.6,64,34,2.8,66.7,46.9,False
0.08,318,9.9,51.2,77,44.4,3.7,88.9,50.2,False
0.05,96,10.6,53.1,77,46,10.1,241.9,50.4,False
0.01,38,12.7,54.8,86,50.8,7.9,189.6,51.3,True
0.05,201,14.2,55.5,94,53.9,10.1,243.3,52.5,True
0.07,279,10.6,52.5,78,46,3.2,77.5,53.5,False
0.05,214,11,51.9,83,47,2.2,51.9,53.4,False
0,82,13.2,52.1,100,52,4.7,112.5,53.3,True
0.05,205,13.5,55,91,52.5,5,121.1,54.6,True
0.04,218,12,53.3,87,49.4,2.3,56.1,53.9,False
0.02,135,13.6,53,99,52.8,6.8,163.6,54.1,True
0.05,222,14.3,55.3,95,54,10.4,250.7,54.8,True
0.03,140,11.1,50.9,87,47.2,4.7,112.3,53.9,True
0.13,431,7.2,49.2,60,36.1,9.2,221,51.7,False
0.04,203,9.9,47.3,90,44.4,6,144.3,51.1,True
0.07,307,10.6,49.9,87,46.2,5.6,133.7,52.4,True
0.16,523,8.5,53.9,60,40.3,7,167.8,52,False
0.18,483,7.7,55,52,37.8,10.6,253.9,51.9,False
0.22,546,5.1,53.9,36,27.6,12.2,292.4,51.2,False
0.17,543,5.8,53.5,42,30.9,6.7,160.6,51.2,False
0.15,531,7.7,54.1,54,37.8,3.7,89.6,52.2,False
0.15,541,9,57.3,56,41.7,3.2,76.1,53.6,False
0.14,478,10.8,58.1,65,46.6,3.2,77.3,55.1,False
0.15,534,11.9,61.1,65,49.1,3.1,74.7,56.6,False
0.12,344,11.7,60.5,65,48.7,4.6,110.4,57.9,True
0.11,405,12,55.2,81,49.4,7,168.5,57.4,True
0.16,552,9.7,54.4,67,43.7,4.6,111.5,55.9,False
0.04,188,12.3,52.4,92,50.1,3.1,74.5,55.3,True
0.13,429,12,55.9,78,49.3,4.6,109.6,57,True
0.11,403,11.1,52.3,83,47.4,3.2,77,55.9,False
0.08,238,12.1,55.9,79,49.5,5.6,134.3,55.8,True
0.12,438,13.8,58.5,83,53.2,3.9,94.4,58.3,True
0.04,170,13.3,56.8,84,52.1,6.3,152.3,58,True
0.13,416,11.5,53.5,82,48.2,5.7,136,56.4,False
0.17,584,10.5,54.8,71,45.7,5.7,137.4,55.9,False
0.19,594,10.3,58,63,45.4,5.7,137.6,56.6,False
0.19,560,10.2,60.9,56,45.1,4.7,112.6,57.1,False
0.06,239,12.7,59.1,74,50.9,3,72.4,58.3,True
0.12,417,14.7,58.3,88,54.8,5.6,134.3,59.2,True
0.07,274,13.9,58,85,53.4,3.1,73.9,59.2,False
0.1,350,13.2,59.1,77,52,4.9,117.9,59.6,False
0.05,221,14.4,55.8,95,54.4,3.5,84.8,58.7,True
0.14,442,14.4,60.3,81,54.4,4.2,99.8,60,False
0.18,557,15.2,64.2,74,55.8,4.6,109.2,61.5,False
0.13,387,16.2,65.2,76,57.6,5.5,131.4,62.5,False
0.23,631,10.1,60.8,56,44.9,11.9,286,61.3,False
0.27,652,8.1,62.4,42,39,11.1,266.5,59.5,False
0.19,422,9,61.6,48,41.7,11.1,265.9,59.3,False
0.24,649,9,62.6,47,41.9,8.5,202.8,59.4,False
0.21,609,11,63.8,55,47.2,4.3,102.3,60.1,False
0.23,628,10.9,61.6,58,46.8,6.9,165.4,60.9,False
0.08,247,9.3,56,61,42.6,6,144.5,59.7,False
0.17,549,11.7,59.1,68,48.7,6.9,164.7,59.9,False
0.21,661,11.7,63.2,59,48.7,3.7,89.1,60.5,False
0.21,654,13.8,67.5,60,53.1,3.4,80.9,62.1,False
0.23,580,13.9,69.2,57,53.4,5.6,133.8,63.4,False
0.22,613,11.6,59.7,66,48.5,10.3,247.6,63.2,False
0.24,680,11.1,62.8,57,47.3,6.2,147.9,62.1,False
0.31,686,8.9,71.4,34,41.6,8.2,197.6,63.2,False
0.27,675,11.6,74.9,39,48.5,5.9,140.5,64.9,False
0.26,660,15.3,75.7,51,56.1,4.7,112,66.8,False
0.26,678,13.6,72.5,50,52.7,4.6,110.2,67.4,False
0.25,670,13.2,69,54,51.9,4.4,105.4,66.2,False
0.24,637,11.5,65.9,53,48.3,4.9,117.3,66.1,False
0.22,676,12.4,62.8,64,50.2,4.7,112,65.4,False
0.23,682,12.1,63.1,61,49.5,5,119.4,65.4,False
0.23,673,10.8,62.1,57,46.7,5.4,129.3,65.1,False
0.26,712,8.9,65.4,42,41.5,5.9,142.2,65,False
0.27,711,7.8,66.2,36,38.2,5.4,129.3,64.3,False
0.26,675,7.7,66.3,35,37.8,4.7,112.7,64.2,False
0.26,715,8.9,62.6,46,41.6,5.1,123.5,63.8,False
0.24,658,9.8,59.3,57,44,8,193.1,62.7,False
0.22,647,11.5,60.2,64,48.1,7.6,182.9,62.9,False
0.23,688,12.6,62.9,64,50.8,5.3,127.6,63.9,False
0.24,687,14.1,66.1,65,53.8,6.1,146.1,65.3,False
0.22,663,14.1,63.4,71,53.8,6.7,159.8,65.6,False
0.25,702,12.8,67.9,55,51.1,5.9,140.5,66,False
0.24,711,13.7,65.6,63,52.9,4.4,105.8,66.4,False
0.26,712,11.9,67,53,49.2,5.3,126.9,66.6,False
0.28,686,10.5,67.9,45,45.8,6.7,159.9,65.8,False
0.18,476,12.4,62.7,64,50.3,7.3,174.6,64.3,False
0.06,209,15.7,61.5,84,56.7,6.8,163.1,63.8,True
0.11,399,13,56.5,83,51.4,8.5,203.3,62,True
0.18,530,10.5,59,62,45.8,7.3,174.2,61.6,False
0.04,207,12.9,54.1,90,51.4,4.9,117.5,60.5,True
0.06,286,13.5,53.5,97,52.6,4.7,113.7,60.1,True
0.17,560,11.9,57.2,75,49.2,5.3,127.1,60.4,False
0.21,586,12,58.3,72,49.3,11.3,270.7,60.2,True
0.24,671,12,64.3,58,49.3,7.9,189.5,61.4,True
0.26,671,13.1,69.2,54,51.6,6.1,147.2,64.5,True
0.23,727,14.6,65.2,69,54.7,4.1,98.1,66.1,False
0.25,753,12.2,62.8,63,49.9,7.5,181.1,65.8,False
0.2,534,9.7,57.1,61,43.8,10,240.9,62.6,True
0.16,490,12.6,59.8,71,50.6,5.6,135,62.3,False
0.26,735,13.7,66.4,62,53,5.4,130.2,64.2,False
0.27,730,14.5,70.1,58,54.5,5.2,124,66.8,False
0.25,736,14.5,67.4,63,54.6,5.1,123.5,67.7,False
0.28,749,15,72.7,55,55.4,5.7,136.6,68.6,False
0.29,736,15.7,74.1,55,56.7,5.8,139.1,70,False
0.26,736,16.2,69.6,66,57.6,5.8,139.2,70.1,False
0.27,729,17.2,72.5,63,59.2,4.6,111,70.5,False
0.28,738,18.8,77.7,58,61.7,4.6,110,72.1,False
0.3,742,17.8,79.6,52,60.2,5.5,132,73.1,False
0.32,769,9.6,71,37,43.4,8.4,202.3,70.2,False
0.3,774,8,67,36,38.9,7.2,173.1,67.7,False
0.37,778,7.2,74.3,25,36.2,10.6,254.1,67.4,False
0.3,724,9.6,77.3,30,43.5,4.6,110.8,69,False
0.29,743,14,82.7,37,53.5,3.7,89.9,71.9,False
0.3,707,15.6,84.8,38,56.6,3.6,85.7,74,False
0.33,745,14.8,84.5,37,55.1,5.4,129.6,75.2,False
0.3,747,13.9,76.4,45,53.4,5.4,130.8,73.9,False
0.26,751,15,70.7,58,55.4,4.4,104.7,73.2,False
0.26,757,13.8,66.5,62,53.2,4,95.2,71.8,False
0.26,746,15.4,69.5,62,56.1,3.4,82.5,71.4,False
0.28,735,17.4,74.7,59,59.5,4.3,104.2,72.9,False
0.3,749,18.1,78.8,54,60.7,5.3,126.4,73.9,False
0.29,756,17.5,74.4,60,59.7,5.4,129.2,73.8,False
0.29,758,14.9,70.9,58,55.3,5.5,131.8,72.9,False
0.31,782,10.8,72.4,40,46.5,6.4,153.7,71.6,False
0.34,772,11.1,76.9,35,47.3,6.8,163.4,71.8,False
0.31,748,14.3,77.3,45,54.2,4.6,111.6,72.9,False
0.27,682,14.9,75.1,50,55.3,3.7,87.8,73.1,False
0.31,756,12.9,74.3,45,51.4,5.4,128.7,72.5,False
0.27,762,12.1,66.8,54,49.6,6.1,147.5,70.8,False
0.27,689,12.1,66.7,54,49.5,6.8,162,69.2,False
0.25,666,12,70.6,47,49.3,3.9,93.2,70.8,False
0.28,765,10.7,70.5,42,46.3,4.3,103.1,70.2,False
0.28,774,12.2,71.6,46,49.8,3.9,94,71.2,False
0.29,764,12,70.3,47,49.4,4.7,112.3,70.8,False
0.28,742,11.5,71.5,44,48.3,4.8,115.4,71.1,False
0.28,750,13.3,72,50,52.2,4.8,114.3,72,False
0.28,754,14.5,72.9,52,54.5,4,95.5,72.1,False
0.29,753,15.2,75.3,51,55.8,3.9,94.1,73.2,False
0.28,742,14.6,74.2,51,54.8,3.7,88.2,73.4,False
0.26,704,13,69.8,52,51.6,4,97.1,72.8,False
0.26,747,13.4,66.3,61,52.3,5.4,129.4,70.7,False
0.25,717,14.4,69.6,58,54.2,4,95.6,71.2,False
0.28,731,16.5,73.7,58,58.1,4.8,115.8,72.5,False
0.29,741,15.7,75.8,52,56.8,4.9,118.5,73.2,False
0.28,743,17.2,76.2,56,59.2,3.7,89.1,74,False
0.29,751,16.5,77.5,51,58.1,4.1,98.6,74.5,False
0.29,754,14.4,77.8,44,54.3,4.3,102.1,74.4,False
0.3,739,13.9,79.9,40,53.4,5.2,125.8,74.4,False
0.3,724,14.4,75.9,47,54.2,6.1,146.6,74.1,False
0.26,729,15.6,75.4,52,56.5,3.5,83.3,73.9,False
0.28,720,17.3,74.9,58,59.4,5.4,128.5,74.5,False
0.26,723,16.9,71.2,65,58.7,5,119.1,73.9,False
0.27,726,14.7,71.5,56,54.9,5.5,132.7,73.1,False
0.25,681,16,73.9,56,57.2,3.9,92.9,73,False
0.29,713,15.6,79.1,46,56.5,4.7,113.2,74.3,False
0.29,711,14.8,77.8,45,55.1,4.7,112.1,74.4,False
0.3,717,13.4,79.3,39,52.4,5,119,73.9,False
0.28,667,12.9,80.1,37,51.3,4.8,116.3,74.4,False
0.28,708,15.9,74.9,54,57,6.3,150.8,73.8,False
0.3,722,14.8,79.8,42,55,5.1,121.6,73.7,False
0.32,699,14.1,84.1,35,53.7,5.6,135.3,75,False
0.28,719,14.6,75.3,49,54.8,5,119.8,74.4,False
0.27,720,11.4,72.6,42,48,4.4,105.9,73.2,False
0.28,709,14.5,73.4,51,54.4,5,119.7,72.6,False
0.26,705,16.1,72.2,60,57.4,5.3,128.2,73.6,False
0.28,695,16.2,76.6,52,57.6,5.7,137.9,74.4,False
0.29,692,15.8,78.7,47,56.9,4.9,118.3,74.8,False
0.28,698,17.3,76.8,55,59.4,5.3,127.8,75,False
0.26,631,15.7,76.1,51,56.6,4.6,111.5,74.1,False
0.29,649,14.3,78.7,43,54.2,5.6,134.3,74.5,False
0.28,685,13.7,74.6,47,53,5.3,126.3,74.6,False
0.27,680,11.6,69.4,47,48.5,5.5,132.5,72.9,False
0.26,607,13.6,73,49,52.8,6.9,166.7,72.6,False
0.22,543,16.4,72.4,60,57.9,7.4,176.7,72.8,False
0.27,674,14.4,74.4,49,54.3,5.9,140.5,72.7,False
0.29,673,12.2,78.4,37,49.8,4.7,113.3,73.8,False
0.28,679,12.2,79.6,35,49.8,4.1,98.3,74.4,False
0.31,672,13.2,83.9,33,51.8,5.7,137.4,75.1,False
0.31,657,14.5,85.3,35,54.5,5.7,135.8,76.4,False
0.3,659,14.1,83.2,36,53.6,5.3,128.3,76.7,False
0.26,657,15.6,74.4,54,56.5,5.1,122.9,76,False
0.24,665,15.3,70,61,56,5.3,127.4,74.6,False
0.24,653,14.9,70,60,55.3,4.6,109.3,74.2,False
0.24,650,14.6,71.3,56,54.7,5.1,122.3,73.9,False
0.28,633,15.4,77.7,48,56.2,5.7,136.2,74.2,False
0.27,624,17.6,82.6,46,59.9,5.7,135.8,76.7,False
0.28,619,16.6,79.4,48,58.2,6,144.2,76.5,False
0.28,609,15.3,78,47,56,6.4,153.9,76.1,False
0.3,614,14.9,81.6,40,55.3,6,144.2,76.4,False
0.3,614,13,81.9,35,51.6,5.8,140.1,76.3,False
0.29,590,10.7,81.5,29,46.4,5.9,141.6,76,False
0.26,578,13.6,77.6,42,52.8,5.4,130.8,76.3,False
0.25,601,15.5,74.6,53,56.3,6.9,166.4,76.1,False
0.25,623,14.6,75,49,54.6,5.8,138.2,75.3,False
0.26,618,13.9,78,42,53.4,4.5,106.8,75.2,False
0.28,601,13.4,79.7,39,52.3,5.7,136,75.2,False
0.27,587,13.9,78.7,41,53.3,5.6,135.1,75.8,False
0.25,603,13.8,76,45,53.2,4.7,113.5,75,False
0.25,558,13.6,77.9,42,52.8,5.4,128.6,74.9,False
0.23,547,14.1,75.6,47,53.8,4.8,114.7,75.4,False
0.23,592,14.6,72.8,53,54.7,4.5,107.9,74.3,False
0.22,556,13.7,66.5,62,53,8.1,195.6,72.5,False
0.21,574,14.1,70.1,56,53.7,6,143.4,72.4,False
0.24,570,13.1,71,51,51.8,8.6,205.8,72.7,False
0.21,554,13.1,68.6,55,51.7,5.2,125.3,72.1,False
0.22,563,12.7,72.4,47,50.9,5.3,126.3,71.8,False
0.22,552,11.1,75.8,37,47.4,4.3,104,72.5,False
0.23,560,10.2,78.9,30,45.1,4.2,101.2,72.5,False
0.24,553,10.2,78.5,31,45.1,4.4,105.3,72.9,False
0.23,568,12.5,70.6,49,50.4,6.2,148.9,71.6,False
0.2,459,12.3,70.1,49,49.9,7.3,174.5,70.7,True
0.2,556,12.3,66.6,55,49.9,5.9,142.5,68.6,False
0.12,298,14.5,67.4,63,54.4,7.3,175.1,68.1,False
0.2,544,11.9,67.2,52,49.2,5.4,129.9,67.7,False
0.21,536,10.3,71.3,39,45.2,5.3,128.1,68.1,False
0.23,541,10.2,73.1,37,45.1,5.7,136.5,68.5,False
0.19,470,11.2,72.8,41,47.5,4.4,105.5,69,False
0.24,526,11.8,75.3,39,48.8,7.8,188.1,69.6,False
0.25,520,10.2,82.7,27,45.1,5.9,142.2,70.9,False
0.21,511,13,81.5,35,51.5,4.1,97.9,72.6,False
0.22,496,15.4,75.5,51,56.2,7.6,183.5,72.5,False
0.18,477,15.3,67.8,66,56,8.6,205.3,71.6,False
0.17,460,10.4,62.8,53,45.6,8.1,193.4,69.2,False
0.17,444,8.3,59.3,48,39.8,7.3,175,66.7,False
0.17,490,8.4,58.9,50,40.1,5.8,139.1,65.4,False
0.17,503,7.5,59.4,43,37.2,5.4,130.7,64.2,False
0.18,501,6.6,62,35,33.9,4.4,105.1,64.1,False
0.17,489,7.7,61.6,41,37.9,5,120.7,64.3,False
0.2,493,6.9,62.6,36,35.1,7.1,169.3,63.8,False
0.2,482,6.6,65.5,31,33.8,5.4,129.2,63.3,False
0.18,445,7.8,69.2,32,38.1,4.6,111.2,64.5,False
0.18,462,8.5,70.8,33,40.3,4,97.2,65.9,False
0.17,446,7.9,70.9,31,38.5,3.5,84.6,66.4,False
0.27,465,4.9,66.4,22,26.6,11.1,266,64.9,False
0.24,462,3.6,63.9,18,19.4,9.8,234.4,63.7,False
0.16,433,5.9,61.2,32,31.1,3.9,94.2,62.5,False
0.15,431,6.6,61.9,35,34,3,72,62.5,False
0.16,417,6.5,61.6,35,33.5,4.3,103.5,62.5,False
0.15,424,7.3,61.6,39,36.6,4.5,107.2,62.1,False
0.14,415,8.6,61.4,46,40.8,3,72.4,62.4,False
0.11,286,9.8,61.6,53,44.1,4.5,107.8,62.4,False
0.18,411,10.3,64.4,50,45.4,9.6,231.3,63.6,False
0.15,386,10,61.1,54,44.4,6.6,157.4,62.7,False
0.12,349,12.1,61.1,66,49.6,6.2,147.9,62.4,False
0.16,391,10.3,65,49,45.4,6.2,148.4,63,False
0.19,392,8.8,68.5,37,41.1,6.3,150.3,63.3,False
0.18,393,8.7,68.8,36,40.9,5.9,141.1,63.5,False
0.2,374,8.1,73.4,29,39.1,7,167.7,64.2,False
0.19,377,4.9,72.1,18,26.4,5.2,124.2,64.1,False
0.16,367,6.1,68.2,26,32.1,4,96.2,63.5,False
0.15,371,7.4,65.4,34,36.6,4.6,109.7,63.1,False
0.32,370,3.4,61.5,18,18.3,19.2,460.7,61.5,False
0.14,379,2.7,56.8,17,12.8,5.3,126.3,59.3,False
0.17,358,3.3,55.2,22,17,7.6,181.2,57.5,False
0.12,358,2.9,53.6,21,14.3,3.9,94.1,57,False
0.11,359,3.6,53.6,25,19,3.5,84.8,56.3,False
0.11,352,4.2,54.2,29,23.1,2.6,63,56.1,False
0.11,347,4.9,55.6,32,26.4,2.7,65.9,56.3,False
0.11,337,5.5,58.1,33,29.3,2.3,54,56.9,False
0.11,332,6.3,58.6,37,32.7,2.5,60,57.5,False
0.11,331,7.2,59.8,41,36,2.8,67.1,57.9,False
0.1,324,8.1,58.7,48,39,2.8,68,58.1,False
0.1,322,9.8,58.5,59,44,3,73,58.1,False
0.11,323,9.7,59,57,43.8,3.5,83.6,58,False
0.11,324,8.5,58.4,51,40.3,3.5,82.9,57.6,False
0.1,313,8.4,58.9,49,40,3,72.3,57.9,False
0.09,285,8.1,60.5,45,39,2.5,60.2,58.5,False
0.09,272,8.9,59.1,52,41.4,2.8,67.9,58.2,False
0.07,220,9.4,59.8,54,42.9,2.4,58.5,57.9,False
0.08,249,11.9,57.9,73,49.2,4.4,105.7,58.7,False
0.09,287,11.6,56.5,75,48.6,4.6,110.3,57.8,False
0.09,286,11,57.8,67,47.1,3.6,87.1,57.6,False
0.08,283,9.9,57.4,62,44.3,2.7,64.1,57.5,False
0.08,280,9.9,57.4,62,44.3,2.8,67.1,57.3,False
0.11,282,10.7,60,61,46.3,7.8,186.2,58.2,False
0.19,246,6.5,59.9,37,33.4,12.5,298.8,57.7,False
0.07,261,8.8,51.6,68,41.3,3.1,75.1,56,False
0.08,264,8.6,53,62,40.5,3.9,94.5,55.1,False
0.09,269,7.7,54.5,53,37.9,3.4,80.9,54.7,False
0.08,264,6.7,52.8,50,34.4,3.3,78.4,54,False
0.17,278,5,52.9,37,27.2,11.1,267.3,52.9,False
0.06,87,5.4,49.7,45,29.1,8,193.1,52.2,True
0.05,143,7.8,49,66,38.1,7.4,176.5,51.2,True
0.03,66,7.1,47.9,62,35.6,5.2,125.3,49.8,False
0.06,255,7.3,46.9,67,36.4,4.6,111.6,48.7,True
0.03,51,8.3,43.9,85,39.7,12.4,296.7,47.1,True
0.11,50,7.1,53.3,51,35.6,16.9,405.8,49.4,True
0.09,53,6.9,57.8,42,35.1,8.3,200.1,52.1,True
0.05,98,10.9,59,64,46.8,4.4,106.5,54,False
0.05,37,7.5,59.5,43,37.1,4.1,98,54.3,True
0.05,78,7,60.4,39,35.5,2.6,62.1,55.1,False
0.11,161,7.1,61.4,38,35.6,6,144.1,55.9,True
0.12,155,7.6,64.1,37,37.5,7.6,183.3,56.9,True
0.09,179,7.9,62.7,41,38.4,3.8,90.4,57.1,True
0.09,255,7.6,59.5,44,37.6,3.3,79.8,55.1,False
0.06,101,7.1,57.3,44,35.6,3.1,73.5,54.7,True
0.05,39,6.9,57.1,43,35.1,4.1,99.2,55.1,True
0.06,118,8.8,62.1,46,41.2,3.5,84.3,56.5,False
0.05,56,8.6,61.4,46,40.7,3.6,87,57,True
0.12,253,7.4,57.2,46,36.8,9,215.7,55.6,True
0.09,259,6.5,54.2,45,33.4,5.7,135.8,52.6,False
0.07,262,5.9,51.7,45,31.1,3.7,89,50,False
0.06,170,6.2,50.3,50,32.4,3.2,76.9,48.8,False
0.06,104,8,55.2,54,38.8,5.1,121.8,50.3,True
0.04,123,8.3,55.6,55,39.6,2.9,68.6,52.1,False
0.05,123,7.6,53.7,54,37.6,2.5,59,51.3,True
0.04,85,7.3,52.5,54,36.3,2.4,57.4,50.5,False
0.05,91,7.7,53.1,56,37.8,4,96.5,50.2,True
0.07,191,7.2,51.8,55,36,5,120.3,49.5,True
0.06,177,6.8,51.4,53,34.7,3.2,77,47.7,False
0.07,132,7.6,52.4,57,37.4,8.2,196.7,49,False
0.12,260,5.9,54.1,41,31,8.6,205.3,48.5,False
0.09,261,5.2,52.8,38,28,4.6,111.3,47.1,False
0.08,259,5.9,50.9,47,31.3,4.1,98.2,46.1,False
0.05,92,7.6,52,57,37.3,4.9,117.7,47.2,True
0.09,257,7.7,56.8,49,37.6,5.9,141.1,49,False
0.08,243,7.3,54.9,50,36.6,4.3,103.8,48.3,False
0.07,196,7.7,55.4,51,37.7,3.6,86.4,48.9,False
